Features,Scores
BsmtFinSF1,175046.76150168467
2ndFlrSF,156662.35699512716
LotArea,153258.46315953575
GrLivArea,152684.19693677255
TotalBsmtSF,128216.76594380823
1stFlrSF,121988.49973903774
MasVnrArea,120689.04785273611
BsmtUnfSF,115155.92692525777
GarageArea,81454.45493015104
WoodDeckSF,71779.27359180308
BsmtFinSF2,52312.03322967995
OpenPorchSF,50714.5432839274
EnclosedPorch,38317.37660367375
ScreenPorch,30411.029468756064
GarageYrBlt,11929.538689155614
YearBuilt,11059.842317050889
YearRemodAdd,10752.836277523866
LowQualFinSF,8888.286907779739
MiscVal,7747.567348793831
3SsnPorch,7441.799768183195
LotFrontage,6554.545004551309
PoolArea,3982.9651360544312
MSSubClass,2600.032593326544
Neighborhood,2194.267106067064
BldgType,1951.4782450392913
HeatingQC,1483.1449251718318
GarageType,1264.929865779134
BsmtFinType1,1038.1321991111927
LandSlope,889.7937812743912
MoSold,882.5826363817938
HouseStyle,812.8877196483194
Exterior2nd,808.6199253519723
LotShape,802.9728965803641
Exterior1st,696.0259061594302
YrSold,666.7508047483435
GarageFinish,654.1881101211162
BsmtExposure,643.6842481669636
BsmtHalfBath,597.2246463464915
BsmtQual,589.773662661141
Fireplaces,570.5072724332691
LotConfig,564.6336301327275
HalfBath,520.7046167788056
TotRmsAbvGrd,518.4879775058531
OverallQual,452.2204615099855
BsmtFullBath,448.32431629604224
RoofStyle,356.0536147993356
GarageCars,324.55449221068477
MasVnrType,321.53432178103327
FireplaceQu,313.1505857566054
KitchenQual,303.8237801712454
Foundation,302.3333920788816
Electrical,273.96459272247705
Utilities,242.33333333333064
RoofMatl,229.0297403233706
Condition1,212.61628904438493
SaleCondition,212.58657769186885
ExterQual,209.7772373257802
Fence,197.35302480648843
FullBath,195.20824968569707
OverallCond,188.85126656395298
SaleType,187.47040404010252
BedroomAbvGr,170.70554547381553
BsmtCond,168.51657102510762
BsmtFinType2,155.38114626713278
GarageQual,124.60123110560636
LandContour,124.35737919793127
MSZoning,113.80313866671395
Functional,97.51975439295222
PavedDrive,93.28925541693995
GarageCond,92.75353656402281
ExterCond,87.76959648253681
MiscFeature,80.39024606257077
Heating,67.61324080193855
CentralAir,53.802334915198145
Alley,39.89743050200421
KitchenAbvGr,28.490834326933285
Condition2,27.33648120107903
PoolQC,4.18733575408638
Street,3.6506013473001326
